,token,median,std,maxp,minp
0,Aratome15a_S01_W01,1330.0,1027.17986388,4878.0,1017.0
1,Aratome15a_S01_W02,1374.0,968.325014245,4529.0,1095.0
2,Aratome15a_S01_W03,1349.0,873.740867618,4355.0,1047.0
3,Aratome15a_S01_W04,1333.0,857.227166563,4182.0,1119.0
4,Aratome15a_S01_W05,1305.0,802.383589863,4069.0,1065.0
5,Aratome15a_S01_W06,1134.0,675.524123216,3597.0,927.0
6,Aratome15a_S01_W07,1570.0,1039.26704876,5352.0,1216.0
7,Aratome15a_S01_W08,1541.0,1039.29612905,5298.0,1278.0
8,Aratome15a_S01_W09,1442.0,978.652945458,4956.0,1151.0
9,Aratome15a_S01_W10,1418.0,1002.39427678,4736.0,1078.0
10,Aratome15a_S01_W11,1377.0,847.610930758,4304.0,1162.0
11,Aratome15a_S01_W12,1249.0,758.803904583,3627.0,1012.0
12,Aratome15a_S02_W07,1174.0,999.274666172,4817.19,945.0
13,Aratome15a_S02_W08,1326.0,912.785386212,4249.0,1052.0
14,Aratome15a_S02_W09,1465.0,959.469368693,4646.0,1137.0
15,Aratome15a_S02_W10,1556.0,1089.19310354,5122.0,1164.0
16,Aratome15a_S02_W11,1453.0,1163.79051601,5611.0,1176.0
17,Aratome15a_S02_W12,0.0,0.0,0.0,
18,Aratome15a_S03_W01,1348.0,881.384036752,4287.16,1085.0
19,Aratome15a_S03_W02,1429.0,966.672445662,4375.0,1049.0
20,Aratome15a_S03_W03,1335.0,889.587650961,4162.0,1007.0
21,Aratome15a_S03_W04,1265.0,957.064164163,4564.0,1040.0
22,Aratome15a_S03_W05,1268.0,837.791434716,3953.0,1041.0
23,Aratome15a_S03_W06,1256.0,925.583603085,4298.0,1081.0
24,Aratome15a_S03_W07,1310.0,904.164351637,4224.0,1043.0
25,Aratome15a_S03_W08,1330.0,765.675562417,3954.0,1079.0
26,Aratome15a_S03_W09,1317.0,890.709055125,4412.0,1020.0
27,Aratome15a_S03_W10,1144.0,742.913428355,3613.0,819.0
28,Aratome15a_S03_W11,1166.0,720.737265204,3460.0,944.0
29,Aratome15a_S04_W01,1255.0,671.126304065,3439.0,924.0
30,Aratome15a_S04_W02,1241.0,821.612134287,4042.0,1020.0
31,Aratome15a_S04_W03,1257.0,852.78249045,4062.0,990.0
32,Aratome15a_S04_W04,1232.0,818.014275854,3808.0,1047.0
33,Aratome15a_S04_W05,1214.0,765.752076316,3715.0,1043.0
34,Aratome15a_S04_W06,1138.0,858.25831513,3759.0,921.0
35,Aratome15a_S04_W07,1256.0,981.058847408,4815.0,994.0
36,Aratome15a_S04_W08,1243.0,787.137663672,3908.0,990.0
37,Aratome15a_S04_W09,1252.0,852.287104137,4014.0,1006.0
38,Aratome15a_S04_W10,1169.0,766.340438333,3445.0,961.0
39,Aratome15a_S04_W11,1131.0,698.352077138,3230.0,972.0
40,Aratome15a_S04_W12,1131.0,750.261239627,3568.0,958.0
41,Aratome15a_S05_W01,1205.0,695.748409587,3353.0,884.0
42,Aratome15a_S05_W02,1292.0,816.068387271,3901.0,1037.0
43,Aratome15a_S05_W03,1407.0,840.761506777,4070.0,1141.0
44,Aratome15a_S05_W04,1405.0,902.042980143,4468.0,1212.0
45,Aratome15a_S05_W05,1387.0,930.666830792,4547.0,1061.0
46,Aratome15a_S05_W06,1377.0,920.839643593,4444.0,1079.0
47,Aratome15a_S05_W07,1238.0,670.85315287,3367.0,981.0
48,Aratome15a_S05_W08,1217.0,643.253790923,3237.0,967.0
49,Aratome15a_S05_W09,1299.0,707.309992583,3421.0,1002.0
50,Aratome15a_S05_W10,1245.0,830.265177449,4006.0,1028.0
51,Aratome15a_S05_W11,1249.0,852.415620063,3904.0,1024.0
52,Aratome15a_S05_W12,1283.0,852.26432638,4149.0,1085.0
53,Aratome15a_S06_W01,1427.0,1453.26331841,7174.0,1053.0
54,Aratome15a_S06_W02,1489.0,1338.39922222,5932.0,1113.0
55,Aratome15a_S06_W03,1536.0,1262.17943274,5986.0,1174.0
56,Aratome15a_S06_W04,1522.0,1256.42469277,5730.0,1190.0
57,Aratome15a_S06_W05,1491.0,1490.95347122,5798.0,1131.0
58,Aratome15a_S06_W06,1446.0,1351.21309144,6051.0,1107.0
59,Aratome15a_S06_W07,1313.0,1210.6587273,5334.0,889.0
60,Aratome15a_S06_W08,1499.0,1134.13135247,5389.0,1003.0
61,Aratome15a_S06_W09,1548.0,1316.70916411,6368.0,1201.0
62,Aratome15a_S06_W10,1555.0,1319.20199721,5942.0,1285.0
63,Aratome15a_S06_W11,1458.0,1298.4449759,5689.0,1107.0
64,Aratome15a_S06_W12,1272.0,1066.50530469,5083.0,1017.0
65,Aratome15a_S07_W01,1475.0,1191.88746693,5443.0,910.0
66,Aratome15a_S07_W02,1456.0,1102.22482495,5038.0,1086.0
67,Aratome15a_S07_W03,1399.0,1134.19892911,5269.0,1070.0
